Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,source_name,STAGE,Tissue
SRR2967110,RNA-Seq,192,358696512,PRJNA304502,SAMN04304160,272873817,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456556,GSM1957058,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957058,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967111,RNA-Seq,192,316068864,PRJNA304502,SAMN04304161,241124418,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456557,GSM1957059,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957059,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967112,RNA-Seq,192,251109504,PRJNA304502,SAMN04304162,192583828,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456558,GSM1957060,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957060,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967113,RNA-Seq,192,491808000,PRJNA304502,SAMN04304163,373454671,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456559,GSM1957061,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957061,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967114,RNA-Seq,192,375231744,PRJNA304502,SAMN04304164,284172369,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456560,GSM1957062,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957062,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967115,RNA-Seq,192,543111744,PRJNA304502,SAMN04304165,406621474,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456561,GSM1957063,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957063,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967116,RNA-Seq,192,485817984,PRJNA304502,SAMN04304166,368660419,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456562,GSM1957064,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957064,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967117,RNA-Seq,192,571498944,PRJNA304502,SAMN04304167,428103025,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456563,GSM1957065,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957065,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967118,RNA-Seq,192,500762880,PRJNA304502,SAMN04304168,375257408,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456564,GSM1957066,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957066,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967119,RNA-Seq,192,573708096,PRJNA304502,SAMN04304169,447367648,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456565,GSM1957067,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957067,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967120,RNA-Seq,192,380365440,PRJNA304502,SAMN04304170,287939786,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456566,GSM1957068,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957068,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967121,RNA-Seq,192,482802432,PRJNA304502,SAMN04304171,377800279,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456567,GSM1957069,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957069,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967122,RNA-Seq,192,489370560,PRJNA304502,SAMN04304172,368046380,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456568,GSM1957070,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957070,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967123,RNA-Seq,192,502074624,PRJNA304502,SAMN04304173,393079787,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456569,GSM1957071,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957071,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967124,RNA-Seq,192,449908800,PRJNA304502,SAMN04304174,337372275,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456570,GSM1957072,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957072,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967125,RNA-Seq,192,299422272,PRJNA304502,SAMN04304175,228941500,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456571,GSM1957073,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957073,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967126,RNA-Seq,192,440946240,PRJNA304502,SAMN04304176,334800154,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456572,GSM1957074,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957074,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967127,RNA-Seq,192,329532096,PRJNA304502,SAMN04304177,250525043,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456573,GSM1957075,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957075,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967128,RNA-Seq,192,223740864,PRJNA304502,SAMN04304178,170592798,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456574,GSM1957076,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957076,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967129,RNA-Seq,192,499143552,PRJNA304502,SAMN04304015,389175567,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456575,GSM1957077,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957077,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967130,RNA-Seq,192,229706304,PRJNA304502,SAMN04304016,174912035,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456576,GSM1957078,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957078,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967131,RNA-Seq,192,303582144,PRJNA304502,SAMN04304017,237222274,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456577,GSM1957079,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957079,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967132,RNA-Seq,192,388109568,PRJNA304502,SAMN04304018,294333949,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456578,GSM1957080,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957080,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967133,RNA-Seq,192,451950144,PRJNA304502,SAMN04304019,342884621,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456579,GSM1957081,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957081,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967134,RNA-Seq,192,482298048,PRJNA304502,SAMN04304020,364021364,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456580,GSM1957082,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957082,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967135,RNA-Seq,192,485404416,PRJNA304502,SAMN04304021,365734770,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456581,GSM1957083,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957083,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967136,RNA-Seq,192,557426880,PRJNA304502,SAMN04304022,434746392,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456582,GSM1957084,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957084,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967137,RNA-Seq,192,531601152,PRJNA304502,SAMN04304023,399546809,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456583,GSM1957085,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957085,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967138,RNA-Seq,192,384488448,PRJNA304502,SAMN04304024,292458189,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456584,GSM1957086,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957086,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967139,RNA-Seq,192,387201600,PRJNA304502,SAMN04304025,293583929,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456585,GSM1957087,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957087,SRP066834,iPSC 409B2,33 days,Dissociated whole cerebral organoid
SRR2967140,RNA-Seq,192,353981568,PRJNA304502,SAMN04304026,272412681,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456586,GSM1957088,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957088,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967141,RNA-Seq,192,172843392,PRJNA304502,SAMN04304027,133719105,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456587,GSM1957089,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957089,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967142,RNA-Seq,192,382392960,PRJNA304502,SAMN04304028,292318111,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456588,GSM1957090,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957090,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967143,RNA-Seq,192,330816576,PRJNA304502,SAMN04304029,253101834,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456589,GSM1957091,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957091,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967144,RNA-Seq,192,401331456,PRJNA304502,SAMN04304030,306221396,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456590,GSM1957092,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957092,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967145,RNA-Seq,192,426527616,PRJNA304502,SAMN04304031,325807258,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456591,GSM1957093,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957093,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967146,RNA-Seq,192,445069632,PRJNA304502,SAMN04304032,340387023,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456592,GSM1957094,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957094,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967147,RNA-Seq,192,488677632,PRJNA304502,SAMN04304033,370469864,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456593,GSM1957095,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957095,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967148,RNA-Seq,192,495673344,PRJNA304502,SAMN04304034,374933273,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456594,GSM1957096,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957096,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967149,RNA-Seq,192,502407552,PRJNA304502,SAMN04304035,383989126,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456595,GSM1957097,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957097,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967150,RNA-Seq,192,367184064,PRJNA304502,SAMN04304036,278780799,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456596,GSM1957098,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957098,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967151,RNA-Seq,192,335521536,PRJNA304502,SAMN04304037,257065389,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456597,GSM1957099,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957099,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967152,RNA-Seq,192,373597248,PRJNA304502,SAMN04304038,285844949,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456598,GSM1957100,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957100,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967153,RNA-Seq,192,326791488,PRJNA304502,SAMN04304039,249573562,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456599,GSM1957101,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957101,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967154,RNA-Seq,192,347324352,PRJNA304502,SAMN04304040,263963451,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456600,GSM1957102,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957102,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967155,RNA-Seq,192,497902464,PRJNA304502,SAMN04304041,374265624,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456601,GSM1957103,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957103,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967156,RNA-Seq,192,588026304,PRJNA304502,SAMN04304042,439111231,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456602,GSM1957104,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957104,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967157,RNA-Seq,192,657164544,PRJNA304502,SAMN04304043,491532872,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456603,GSM1957105,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957105,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967158,RNA-Seq,192,707902848,PRJNA304502,SAMN04304095,528011032,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456604,GSM1957106,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957106,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967159,RNA-Seq,192,611697600,PRJNA304502,SAMN04304096,456223053,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456605,GSM1957107,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957107,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967160,RNA-Seq,192,556941120,PRJNA304502,SAMN04304044,417046947,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456606,GSM1957108,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957108,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967161,RNA-Seq,192,517422144,PRJNA304502,SAMN04304090,390778235,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456607,GSM1957109,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957109,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967162,RNA-Seq,192,516015552,PRJNA304502,SAMN04304091,384445494,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456608,GSM1957110,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957110,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967163,RNA-Seq,192,296375232,PRJNA304502,SAMN04304092,225037665,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456609,GSM1957111,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957111,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967164,RNA-Seq,192,499443840,PRJNA304502,SAMN04304093,380007053,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456610,GSM1957112,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957112,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967165,RNA-Seq,192,337156032,PRJNA304502,SAMN04304094,256497945,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456611,GSM1957113,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957113,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967166,RNA-Seq,192,530393280,PRJNA304502,SAMN04304097,401558166,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456612,GSM1957114,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957114,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967167,RNA-Seq,192,547220160,PRJNA304502,SAMN04304098,407483278,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456613,GSM1957115,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957115,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967168,RNA-Seq,192,493837824,PRJNA304502,SAMN04304099,367009196,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456614,GSM1957116,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957116,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967169,RNA-Seq,192,744423168,PRJNA304502,SAMN04304100,553171697,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1456615,GSM1957117,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957117,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
SRR2967170,RNA-Seq,192,764081664,PRJNA304502,SAMN04304101,569163769,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1456616,GSM1957118,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957118,SRP066834,iPSC 409B2,35 days,Dissociated whole cerebral organoid
