Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR4455100,RNA-Seq,50,6758900,PRJNA350790,SAMN05946987,4292554,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271646,GSM2361500,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361500,Blood Dendritic Cells,SRP092166
SRR4455101,RNA-Seq,50,6776100,PRJNA350790,SAMN05946987,4307578,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271646,GSM2361500,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361500,Blood Dendritic Cells,SRP092166
SRR4455102,RNA-Seq,50,3939300,PRJNA350790,SAMN05946984,2647169,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271647,GSM2361501,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361501,Blood Dendritic Cells,SRP092166
SRR4455103,RNA-Seq,50,3964250,PRJNA350790,SAMN05946984,2661818,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271647,GSM2361501,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361501,Blood Dendritic Cells,SRP092166
SRR4455104,RNA-Seq,50,4302200,PRJNA350790,SAMN05946979,3175761,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271648,GSM2361502,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361502,Blood Dendritic Cells,SRP092166
SRR4455105,RNA-Seq,50,4337200,PRJNA350790,SAMN05946979,3199974,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271648,GSM2361502,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361502,Blood Dendritic Cells,SRP092166
SRR4455106,RNA-Seq,50,3103150,PRJNA350790,SAMN05946977,1965430,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271649,GSM2361503,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361503,Blood Dendritic Cells,SRP092166
SRR4455107,RNA-Seq,50,3103300,PRJNA350790,SAMN05946977,1970633,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271649,GSM2361503,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361503,Blood Dendritic Cells,SRP092166
SRR4455108,RNA-Seq,50,10044800,PRJNA350790,SAMN05946975,6315860,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271650,GSM2361504,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361504,Blood Dendritic Cells,SRP092166
SRR4455109,RNA-Seq,50,10161250,PRJNA350790,SAMN05946975,6379889,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271650,GSM2361504,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361504,Blood Dendritic Cells,SRP092166
SRR4455110,RNA-Seq,50,2808300,PRJNA350790,SAMN05946972,2225003,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271651,GSM2361505,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361505,Blood Dendritic Cells,SRP092166
SRR4455111,RNA-Seq,50,2790700,PRJNA350790,SAMN05946972,2212466,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271651,GSM2361505,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361505,Blood Dendritic Cells,SRP092166
SRR4455112,RNA-Seq,50,7753600,PRJNA350790,SAMN05946969,4847158,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271652,GSM2361506,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361506,Blood Dendritic Cells,SRP092166
SRR4455113,RNA-Seq,50,7749500,PRJNA350790,SAMN05946969,4846625,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271652,GSM2361506,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361506,Blood Dendritic Cells,SRP092166
SRR4455114,RNA-Seq,50,7297900,PRJNA350790,SAMN05946967,4571657,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271653,GSM2361507,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361507,Blood Dendritic Cells,SRP092166
SRR4455115,RNA-Seq,50,7326550,PRJNA350790,SAMN05946967,4591118,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271653,GSM2361507,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361507,Blood Dendritic Cells,SRP092166
SRR4455116,RNA-Seq,50,14294650,PRJNA350790,SAMN05946965,9107950,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271654,GSM2361508,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361508,Blood Dendritic Cells,SRP092166
SRR4455117,RNA-Seq,50,14283850,PRJNA350790,SAMN05946965,9112786,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271654,GSM2361508,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361508,Blood Dendritic Cells,SRP092166
SRR4455118,RNA-Seq,50,13550250,PRJNA350790,SAMN05946963,8555711,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271655,GSM2361509,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361509,Blood Dendritic Cells,SRP092166
SRR4455119,RNA-Seq,50,13590650,PRJNA350790,SAMN05946963,8585710,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271655,GSM2361509,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361509,Blood Dendritic Cells,SRP092166
SRR4455120,RNA-Seq,50,21685750,PRJNA350790,SAMN05946961,13362043,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271656,GSM2361510,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361510,Blood Dendritic Cells,SRP092166
SRR4455121,RNA-Seq,50,21669550,PRJNA350790,SAMN05946961,13369891,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271656,GSM2361510,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361510,Blood Dendritic Cells,SRP092166
SRR4455122,RNA-Seq,50,19647250,PRJNA350790,SAMN05946959,12315149,"primary human conventional dendritic cells (cDCs),CD1c+ cDC",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271657,GSM2361511,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361511,Blood Dendritic Cells,SRP092166
SRR4455123,RNA-Seq,50,19671150,PRJNA350790,SAMN05946959,12325017,"primary human conventional dendritic cells (cDCs),CD1c+ cDC",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271657,GSM2361511,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361511,Blood Dendritic Cells,SRP092166
SRR4455124,RNA-Seq,50,12247600,PRJNA350790,SAMN05946957,7686962,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271658,GSM2361512,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361512,Blood Dendritic Cells,SRP092166
SRR4455125,RNA-Seq,50,12285800,PRJNA350790,SAMN05946957,7712176,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271658,GSM2361512,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361512,Blood Dendritic Cells,SRP092166
SRR4455126,RNA-Seq,50,8989500,PRJNA350790,SAMN05946955,5600335,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271659,GSM2361513,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361513,Blood Dendritic Cells,SRP092166
SRR4455127,RNA-Seq,50,8985750,PRJNA350790,SAMN05946955,5602610,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271659,GSM2361513,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361513,Blood Dendritic Cells,SRP092166
SRR4455128,RNA-Seq,50,12213650,PRJNA350790,SAMN05946954,7582778,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271660,GSM2361514,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361514,Blood Dendritic Cells,SRP092166
SRR4455129,RNA-Seq,50,12233950,PRJNA350790,SAMN05946954,7607648,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271660,GSM2361514,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361514,Blood Dendritic Cells,SRP092166
SRR4455130,RNA-Seq,50,1127850,PRJNA350790,SAMN05946950,927368,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271661,GSM2361515,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361515,Blood Dendritic Cells,SRP092166
SRR4455131,RNA-Seq,50,1121100,PRJNA350790,SAMN05946950,921872,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271661,GSM2361515,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361515,Blood Dendritic Cells,SRP092166
SRR4455132,RNA-Seq,50,12798300,PRJNA350790,SAMN05946948,7965114,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271662,GSM2361516,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361516,Blood Dendritic Cells,SRP092166
SRR4455133,RNA-Seq,50,12821900,PRJNA350790,SAMN05946948,7986310,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271662,GSM2361516,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361516,Blood Dendritic Cells,SRP092166
SRR4455134,RNA-Seq,50,13911550,PRJNA350790,SAMN05946947,8704148,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271663,GSM2361517,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361517,Blood Dendritic Cells,SRP092166
SRR4455135,RNA-Seq,50,13945850,PRJNA350790,SAMN05946947,8738481,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271663,GSM2361517,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361517,Blood Dendritic Cells,SRP092166
SRR4455136,RNA-Seq,50,17714750,PRJNA350790,SAMN05946945,10810327,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271664,GSM2361518,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361518,Blood Dendritic Cells,SRP092166
SRR4455137,RNA-Seq,50,17703150,PRJNA350790,SAMN05946945,10826099,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271664,GSM2361518,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361518,Blood Dendritic Cells,SRP092166
SRR4455138,RNA-Seq,50,16197850,PRJNA350790,SAMN05946944,10104477,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271665,GSM2361519,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361519,Blood Dendritic Cells,SRP092166
SRR4455139,RNA-Seq,50,16200150,PRJNA350790,SAMN05946944,10113376,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271665,GSM2361519,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361519,Blood Dendritic Cells,SRP092166
SRR4455140,RNA-Seq,50,12593650,PRJNA350790,SAMN05946942,7932529,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271666,GSM2361520,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361520,Blood Dendritic Cells,SRP092166
SRR4455141,RNA-Seq,50,12585550,PRJNA350790,SAMN05946942,7935909,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271666,GSM2361520,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361520,Blood Dendritic Cells,SRP092166
SRR4455142,RNA-Seq,50,12859350,PRJNA350790,SAMN05946952,7954182,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271667,GSM2361521,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361521,Blood Dendritic Cells,SRP092166
SRR4455143,RNA-Seq,50,12899400,PRJNA350790,SAMN05946952,7991744,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271667,GSM2361521,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361521,Blood Dendritic Cells,SRP092166
SRR4455144,RNA-Seq,50,13265000,PRJNA350790,SAMN05946940,8198504,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271668,GSM2361522,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361522,Blood Dendritic Cells,SRP092166
SRR4455145,RNA-Seq,50,13220050,PRJNA350790,SAMN05946940,8190902,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271668,GSM2361522,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361522,Blood Dendritic Cells,SRP092166
SRR4455146,RNA-Seq,50,1046250,PRJNA350790,SAMN05946938,865287,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271669,GSM2361523,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361523,Blood Dendritic Cells,SRP092166
SRR4455147,RNA-Seq,50,1014000,PRJNA350790,SAMN05946938,835872,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271669,GSM2361523,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361523,Blood Dendritic Cells,SRP092166
SRR4455148,RNA-Seq,50,9342750,PRJNA350790,SAMN05946104,5760722,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271670,GSM2361524,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361524,Blood Dendritic Cells,SRP092166
SRR4455149,RNA-Seq,50,9355050,PRJNA350790,SAMN05946104,5772291,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271670,GSM2361524,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361524,Blood Dendritic Cells,SRP092166
SRR4455150,RNA-Seq,50,11190850,PRJNA350790,SAMN05946103,7003712,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271671,GSM2361525,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361525,Blood Dendritic Cells,SRP092166
SRR4455151,RNA-Seq,50,11185150,PRJNA350790,SAMN05946103,7005453,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271671,GSM2361525,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361525,Blood Dendritic Cells,SRP092166
SRR4455152,RNA-Seq,50,12421900,PRJNA350790,SAMN05946102,7655024,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271672,GSM2361526,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361526,Blood Dendritic Cells,SRP092166
SRR4455153,RNA-Seq,50,12375650,PRJNA350790,SAMN05946102,7650057,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2271672,GSM2361526,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361526,Blood Dendritic Cells,SRP092166
SRR4455154,RNA-Seq,50,11580300,PRJNA350790,SAMN05946101,7191535,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271673,GSM2361527,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361527,Blood Dendritic Cells,SRP092166
SRR4455155,RNA-Seq,50,11624450,PRJNA350790,SAMN05946101,7226415,"CD1c+ cDC,primary human conventional dendritic cells (cDCs)",GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2271673,GSM2361527,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-15T00:00:00Z,GSM2361527,Blood Dendritic Cells,SRP092166
