Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,gender,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR2013459,RNA-Seq,202,537246068,PRJNA269154,SAMN03612176,354940137,GEO,public,"sra,fastq",s3,s3.us-east-1,7 week gestation,SRX1021264,male,GSM1677490,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677490,Primordial Germ Cells,SRP050499
SRR2013460,RNA-Seq,202,803618014,PRJNA269154,SAMN03612177,531100755,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021265,male,GSM1677491,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677491,Primordial Germ Cells,SRP050499
SRR2013461,RNA-Seq,202,1395261470,PRJNA269154,SAMN03612178,924455577,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021266,male,GSM1677492,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677492,Primordial Germ Cells,SRP050499
SRR2013462,RNA-Seq,202,693988574,PRJNA269154,SAMN03612179,455663517,GEO,public,"sra,fastq",s3,s3.us-east-1,7 week gestation,SRX1021267,male,GSM1677493,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677493,Primordial Germ Cells,SRP050499
SRR2013463,RNA-Seq,202,675666366,PRJNA269154,SAMN03612180,443460829,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021268,male,GSM1677494,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677494,Primordial Germ Cells,SRP050499
SRR2013464,RNA-Seq,202,761223062,PRJNA269154,SAMN03612181,500737402,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021269,male,GSM1677495,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677495,Primordial Germ Cells,SRP050499
SRR2013465,RNA-Seq,202,727235552,PRJNA269154,SAMN03612182,479625378,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021270,male,GSM1677496,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677496,Primordial Germ Cells,SRP050499
SRR2013466,RNA-Seq,202,622971434,PRJNA269154,SAMN03612183,408661042,GEO,public,"sra,fastq",s3,s3.us-east-1,7 week gestation,SRX1021271,male,GSM1677497,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677497,Primordial Germ Cells,SRP050499
SRR2013467,RNA-Seq,202,701652858,PRJNA269154,SAMN03612125,458103726,GEO,public,"sra,fastq",s3,s3.us-east-1,7 week gestation,SRX1021272,male,GSM1677498,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677498,Primordial Germ Cells,SRP050499
SRR2013468,RNA-Seq,202,813720438,PRJNA269154,SAMN03612126,529171143,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021273,male,GSM1677499,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677499,Primordial Germ Cells,SRP050499
SRR2013469,RNA-Seq,202,789187134,PRJNA269154,SAMN03612127,513598918,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021274,male,GSM1677500,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677500,Primordial Germ Cells,SRP050499
SRR2013470,RNA-Seq,202,1384420938,PRJNA269154,SAMN03612128,907673877,GEO,public,"sra,fastq",s3,s3.us-east-1,7 week gestation,SRX1021275,male,GSM1677501,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677501,Primordial Germ Cells,SRP050499
SRR2013471,RNA-Seq,202,1234795296,PRJNA269154,SAMN03612129,802725814,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021276,male,GSM1677502,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677502,Primordial Germ Cells,SRP050499
SRR2013472,RNA-Seq,202,828395738,PRJNA269154,SAMN03612130,538203763,GEO,public,"sra,fastq",s3,s3.us-east-1,7 week gestation,SRX1021277,male,GSM1677503,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677503,Primordial Germ Cells,SRP050499
SRR2013473,RNA-Seq,202,983057644,PRJNA269154,SAMN03612131,635794647,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021278,male,GSM1677504,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677504,Primordial Germ Cells,SRP050499
SRR2013474,RNA-Seq,202,661856434,PRJNA269154,SAMN03612132,432185675,GEO,public,"sra,fastq",s3,s3.us-east-1,7 week gestation,SRX1021279,male,GSM1677505,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677505,Primordial Germ Cells,SRP050499
SRR2013475,RNA-Seq,202,780503356,PRJNA269154,SAMN03612133,519879947,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021280,male,GSM1677506,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677506,Primordial Germ Cells,SRP050499
SRR2013476,RNA-Seq,202,747534936,PRJNA269154,SAMN03612134,488968128,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021281,male,GSM1677507,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677507,Primordial Germ Cells,SRP050499
SRR2013477,RNA-Seq,202,603716188,PRJNA269154,SAMN03612135,393050215,GEO,public,"sra,fastq",s3,s3.us-east-1,7 week gestation,SRX1021282,male,GSM1677508,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677508,Primordial Germ Cells,SRP050499
SRR2013478,RNA-Seq,202,670872300,PRJNA269154,SAMN03612136,440691523,GEO,public,"sra,fastq",s3,s3.us-east-1,7 week gestation,SRX1021283,male,GSM1677509,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677509,Primordial Germ Cells,SRP050499
SRR2013479,RNA-Seq,202,599704670,PRJNA269154,SAMN03612137,394925377,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021284,male,GSM1677510,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677510,Primordial Germ Cells,SRP050499
SRR2013480,RNA-Seq,202,722070816,PRJNA269154,SAMN03612138,472435443,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021285,male,GSM1677511,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677511,Primordial Germ Cells,SRP050499
SRR2013481,RNA-Seq,202,1000447218,PRJNA269154,SAMN03612139,646194245,GEO,public,"sra,fastq",s3,s3.us-east-1,7 week gestation,SRX1021286,male,GSM1677512,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677512,Primordial Germ Cells,SRP050499
SRR2013482,RNA-Seq,202,907360366,PRJNA269154,SAMN03612140,584026288,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021287,male,GSM1677513,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677513,Primordial Germ Cells,SRP050499
SRR2013483,RNA-Seq,202,784866556,PRJNA269154,SAMN03612141,513186202,GEO,public,"sra,fastq",s3,s3.us-east-1,7 week gestation,SRX1021288,male,GSM1677514,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677514,Primordial Germ Cells,SRP050499
SRR2013484,RNA-Seq,202,877777466,PRJNA269154,SAMN03612142,572666741,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021289,male,GSM1677515,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677515,Primordial Germ Cells,SRP050499
SRR2013485,RNA-Seq,202,1564246186,PRJNA269154,SAMN03612143,981857152,GEO,public,"sra,fastq",s3,s3.us-east-1,7 week gestation,SRX1021290,male,GSM1677516,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677516,Primordial Germ Cells,SRP050499
SRR2013486,RNA-Seq,202,876293776,PRJNA269154,SAMN03612144,570818913,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021291,male,GSM1677517,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677517,Primordial Germ Cells,SRP050499
SRR2013487,RNA-Seq,202,1394160772,PRJNA269154,SAMN03612145,928621372,GEO,public,"fastq,sra",s3,s3.us-east-1,7 week gestation,SRX1021292,male,GSM1677518,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677518,Primordial Germ Cells,SRP050499
SRR2013488,RNA-Seq,202,733002046,PRJNA269154,SAMN03612146,485505661,GEO,public,"fastq,sra",s3,s3.us-east-1,10 week gestation,SRX1021293,male,GSM1677519,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677519,Primordial Germ Cells,SRP050499
SRR2013489,RNA-Seq,202,1130759236,PRJNA269154,SAMN03612147,748598480,GEO,public,"fastq,sra",s3,s3.us-east-1,10 week gestation,SRX1021294,male,GSM1677520,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677520,Primordial Germ Cells,SRP050499
SRR2013490,RNA-Seq,202,1933265442,PRJNA269154,SAMN03612148,1275826869,GEO,public,"sra,fastq",s3,s3.us-east-1,10 week gestation,SRX1021295,male,GSM1677521,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677521,Primordial Germ Cells,SRP050499
SRR2013491,RNA-Seq,202,1197336214,PRJNA269154,SAMN03612149,773579700,GEO,public,"sra,fastq",s3,s3.us-east-1,10 week gestation,SRX1021296,male,GSM1677522,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677522,Primordial Germ Cells,SRP050499
SRR2013492,RNA-Seq,202,1159428490,PRJNA269154,SAMN03612150,761972509,GEO,public,"fastq,sra",s3,s3.us-east-1,10 week gestation,SRX1021297,male,GSM1677523,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677523,Primordial Germ Cells,SRP050499
SRR2013493,RNA-Seq,202,810933444,PRJNA269154,SAMN03612152,536956542,GEO,public,"fastq,sra",s3,s3.us-east-1,10 week gestation,SRX1021298,male,GSM1677524,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677524,Primordial Germ Cells,SRP050499
SRR2013494,RNA-Seq,202,1655157498,PRJNA269154,SAMN03612153,1091944557,GEO,public,"sra,fastq",s3,s3.us-east-1,10 week gestation,SRX1021299,male,GSM1677525,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677525,Primordial Germ Cells,SRP050499
SRR2013495,RNA-Seq,202,776519512,PRJNA269154,SAMN03612154,514231805,GEO,public,"sra,fastq",s3,s3.us-east-1,10 week gestation,SRX1021300,male,GSM1677526,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677526,Primordial Germ Cells,SRP050499
SRR2013496,RNA-Seq,202,1168078130,PRJNA269154,SAMN03611876,764348507,GEO,public,"fastq,sra",s3,s3.us-east-1,10 week gestation,SRX1021301,male,GSM1677527,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677527,Primordial Germ Cells,SRP050499
SRR2013497,RNA-Seq,202,1066623226,PRJNA269154,SAMN03611877,701090453,GEO,public,"fastq,sra",s3,s3.us-east-1,10 week gestation,SRX1021302,male,GSM1677528,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677528,Primordial Germ Cells,SRP050499
SRR2013498,RNA-Seq,202,759269924,PRJNA269154,SAMN03612151,505086044,GEO,public,"sra,fastq",s3,s3.us-east-1,10 week gestation,SRX1021303,male,GSM1677529,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677529,Primordial Germ Cells,SRP050499
SRR2013499,RNA-Seq,202,412303210,PRJNA269154,SAMN03611878,273041292,GEO,public,"fastq,sra",s3,s3.us-east-1,10 week gestation,SRX1021304,male,GSM1677530,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677530,Primordial Germ Cells,SRP050499
SRR2013500,RNA-Seq,202,685345398,PRJNA269154,SAMN03611879,449618696,GEO,public,"fastq,sra",s3,s3.us-east-1,10 week gestation,SRX1021305,male,GSM1677531,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677531,Primordial Germ Cells,SRP050499
SRR2013501,RNA-Seq,202,763210742,PRJNA269154,SAMN03611880,498521942,GEO,public,"sra,fastq",s3,s3.us-east-1,10 week gestation,SRX1021306,male,GSM1677532,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677532,Primordial Germ Cells,SRP050499
SRR2013502,RNA-Seq,202,632387462,PRJNA269154,SAMN03611881,404725724,GEO,public,"fastq,sra",s3,s3.us-east-1,10 week gestation,SRX1021307,male,GSM1677533,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677533,Primordial Germ Cells,SRP050499
SRR2013503,RNA-Seq,202,592433478,PRJNA269154,SAMN03611882,387599145,GEO,public,"fastq,sra",s3,s3.us-east-1,10 week gestation,SRX1021308,male,GSM1677534,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677534,Primordial Germ Cells,SRP050499
SRR2013504,RNA-Seq,202,911602164,PRJNA269154,SAMN03611883,602866295,GEO,public,"sra,fastq",s3,s3.us-east-1,10 week gestation,SRX1021309,male,GSM1677535,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677535,Primordial Germ Cells,SRP050499
SRR2013505,RNA-Seq,202,896437822,PRJNA269154,SAMN03611884,596897233,GEO,public,"sra,fastq",s3,s3.us-east-1,10 week gestation,SRX1021310,male,GSM1677536,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677536,Primordial Germ Cells,SRP050499
SRR2013506,RNA-Seq,202,868154792,PRJNA269154,SAMN03611885,567445394,GEO,public,"sra,fastq",s3,s3.us-east-1,10 week gestation,SRX1021311,male,GSM1677537,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677537,Primordial Germ Cells,SRP050499
SRR2013507,RNA-Seq,202,2080796748,PRJNA269154,SAMN03611886,1342041127,GEO,public,"sra,fastq",s3,s3.us-east-1,11 week gestation,SRX1021312,male,GSM1677538,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677538,Primordial Germ Cells,SRP050499
SRR2013508,RNA-Seq,202,2553616128,PRJNA269154,SAMN03611887,1610268904,GEO,public,"fastq,sra",s3,s3.us-east-1,11 week gestation,SRX1021313,male,GSM1677539,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677539,Primordial Germ Cells,SRP050499
SRR2013509,RNA-Seq,202,1433705706,PRJNA269154,SAMN03611888,929317018,GEO,public,"sra,fastq",s3,s3.us-east-1,11 week gestation,SRX1021314,male,GSM1677540,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677540,Primordial Germ Cells,SRP050499
SRR2013510,RNA-Seq,202,2589348110,PRJNA269154,SAMN03611889,1662636826,GEO,public,"sra,fastq",s3,s3.us-east-1,11 week gestation,SRX1021315,male,GSM1677541,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677541,Primordial Germ Cells,SRP050499
SRR2013511,RNA-Seq,202,2276729880,PRJNA269154,SAMN03611890,1470276675,GEO,public,"sra,fastq",s3,s3.us-east-1,11 week gestation,SRX1021316,male,GSM1677542,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677542,Primordial Germ Cells,SRP050499
SRR2013512,RNA-Seq,202,1319499552,PRJNA269154,SAMN03611891,841629439,GEO,public,"fastq,sra",s3,s3.us-east-1,11 week gestation,SRX1021317,male,GSM1677543,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677543,Primordial Germ Cells,SRP050499
SRR2013513,RNA-Seq,202,931986590,PRJNA269154,SAMN03611892,601617151,GEO,public,"fastq,sra",s3,s3.us-east-1,11 week gestation,SRX1021318,male,GSM1677544,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677544,Primordial Germ Cells,SRP050499
SRR2013514,RNA-Seq,202,3610397106,PRJNA269154,SAMN03611893,2308513832,GEO,public,"fastq,sra",s3,s3.us-east-1,11 week gestation,SRX1021319,male,GSM1677545,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677545,Primordial Germ Cells,SRP050499
SRR2013515,RNA-Seq,202,502174626,PRJNA269154,SAMN03611894,322480479,GEO,public,"sra,fastq",s3,s3.us-east-1,11 week gestation,SRX1021320,male,GSM1677546,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,GSM1677546,Primordial Germ Cells,SRP050499
